Path,Par1_T0_S15,Par2_T0_S9,Par3_T0_S11,Par1_6m_S7,Par2_6m_S8,Par3_6m_S10,MARS2_S1,MARS4_S14,MARS5_S2,NURS2_S4,NURS4_S5,NURS5_S6,REBAR2_S12,REBAR4_S13,REBAR5_S16
 Aging,8.329263141,5.490221368,2.230141932,2.010269548,4.329706335,3.779825155,6.17954818,2.119156448,4.831752557,3.634648904,1.293071523,2.895954085,6.306300218,4.010826074,5.551088765
 Amino acid metabolism,500.4069012,281.0456508,164.9887737,110.374809,239.0436077,202.4110683,280.4957265,232.5178619,256.6417025,213.3573647,88.01108258,251.4301808,259.6451301,261.2594634,396.8982933
 Biosynthesis of other secondary metabolites,3.363865926,4.777997038,0.528867604,0,3.136423934,1.914876556,2.168228077,3.960937718,2.361308142,1.952112077,1.664699115,1.489448966,1.879664569,21.76399746,1.509104895
 Cancers: Overview,18.37591451,11.15769232,6.64027564,5.45364141,9.271570025,8.919968399,12.84466859,3.75135795,7.440974763,8.038076731,3.56881454,9.18797795,10.15774583,8.188620875,11.47987452
 Cancers: Specific types,0.241119587,0.350075651,0.108718919,0,0.386833951,0.3016099,0.728364403,0,0.701376493,0.242638951,0.049020129,0.179071149,0.797010668,0.04712265,0.792551885
 Carbohydrate metabolism,931.6688164,539.007032,341.7745409,264.1634242,496.2421207,457.1448455,607.0588671,432.2491423,471.3768095,376.0724241,218.0919428,443.8863624,515.7497205,580.5372598,539.9970378
 Cardiovascular diseases,1.09012199,2.245798569,0.258698632,0,0.719646731,0.513712233,0.644734129,0.341921856,0,0.890789814,0.104979856,0,0.870985777,3.049914143,0.28843047
 Cell growth and death,49.4226901,33.30113692,15.78000649,5.660637452,21.62349344,19.93557341,27.66009107,29.68271673,34.06011304,24.78880701,11.03881427,16.81528393,25.00217457,61.28843382,26.33465481
 Cell motility,14.63222621,1.268389332,1.382180372,19.44218059,5.056529958,1.825161993,1.954070381,22.26889622,5.746855755,2.560796539,4.003410387,2.230085407,1.888726937,8.483655646,1.213614586
 Cellular community - eukaryotes,5.741202595,6.238532031,1.687463942,0,3.962411152,3.051099101,3.929562091,3.680821111,10.63269306,4.760228441,1.999354743,5.357706124,3.617300695,3.302364792,2.429593011
 Cellular community - prokaryotes,29.80711372,9.900748711,5.781094979,26.25323602,11.30555266,6.470826504,9.329524748,91.61262404,10.41146743,6.958838578,9.715330685,4.555275199,7.068446563,24.86393281,11.03339161
 Circulatory system,0.022149357,0,0,1.443030699,0.025843452,0,0,0.13199774,0,0,0.117078309,0,0,0.063487725,0
 Development,2.101670443,1.031878835,1.571744383,4.18003653,1.330666532,1.256075061,1.684120492,0.398308969,0.58063054,1.833307637,0.538873432,0.65338395,1.875359668,0.564266803,1.344732359
 Digestive system,17.49425106,7.38783592,3.968171442,0,7.394220399,7.905207506,10.08657839,3.694587115,6.656580337,6.623553069,3.143039157,4.816733911,8.229909102,5.391648295,9.427010263
 Drug resistance: Antimicrobial,5.707380398,0.844447432,0.781423178,3.693471431,1.417566993,0.911681081,0.931227466,7.906183182,1.01277773,0.940069,1.5140071,1.146439579,1.336604209,3.962310449,0.790021631
 Drug resistance: Antineoplastic,1.897267328,2.275918348,1.692528677,5.170860003,2.671956676,2.765590491,3.249362136,1.365337446,0.799164561,2.702365948,1.499067185,1.314542827,3.851690496,1.532593825,2.725974103
 Endocrine system,81.35487601,40.78048238,27.34085436,6.831009532,34.40113245,32.01966154,43.77776882,17.54010326,38.61194292,34.56728534,9.781345337,26.06971286,39.78079786,41.7774366,47.20475238
 Energy metabolism,5439.459256,8840.036482,27318.3212,41723.7746,12098.20468,24062.68512,12200.46636,79514.87018,78195.80014,32185.23234,13366.56111,32037.0358,28560.48297,15458.32751,4445.060441
 Environmental adaptation,27.85794554,26.79426566,10.43313113,9.480774698,20.41722147,19.24639836,28.15888652,10.19089476,24.73683739,18.18623475,7.676236255,22.0149175,22.93934952,19.85524966,27.71911885
 Excretory system,6.132823953,9.390081532,3.416079851,0,4.159258694,4.083817468,4.316388573,1.661608274,0,4.729420518,1.141176748,4.572563606,3.983518614,11.68441749,4.08397649
" Folding, sorting and degradation",285.9373788,187.2055392,112.3150279,48.97665072,165.736458,164.5582445,220.498821,101.025478,138.1498107,136.3732967,66.98599795,145.0519811,177.9425522,136.7609762,197.4083236
 Glycan biosynthesis and metabolism,68.53490065,40.38992287,20.35906079,37.9894181,33.00375106,30.15049739,41.89169915,36.85048974,40.03285671,26.94212418,15.82039083,33.24749764,35.13706712,36.97068265,38.04265502
 Immune diseases,0.774560361,0.306548173,0.413917812,0,0.368191351,0.256856116,0.748723504,0,0.508337091,0,0.164483206,0.56813738,0.252866838,0.229129923,0.310617429
 Immune system,11.8263964,10.07045216,3.334888194,7.277212645,4.745750658,5.992271101,9.18821728,5.504658254,10.99361455,7.561931594,3.428951738,6.683239652,7.806642629,19.21895666,7.505801035
 Infectious diseases: Bacterial,20.57952597,8.631597421,10.12376811,2.820469093,10.47161317,11.02403968,13.72986857,12.26080675,15.71163946,6.959798872,3.574107102,10.41478439,13.36596044,6.98876783,15.69620101
 Infectious diseases: Parasitic,2.330466691,0.701998404,0.684454068,0.299085733,0.820326113,0.941732462,1.202050705,1.203979384,1.588553409,0.411809001,0.244708589,0.927647264,2.277370889,0.605509573,1.451225821
 Infectious diseases: Viral,1.995419791,2.574119057,1.273251128,0,0.690389364,0.944504665,1.486311048,0.985399793,0.432880804,1.594971027,0.140900046,3.120802532,1.145021479,0.731057888,1.022011685
 Lipid metabolism,135.1864238,85.17278916,50.76310693,55.09016678,67.10338943,61.88110203,84.16925654,89.83630405,69.6585731,63.54006485,28.66047239,57.57979738,78.72754004,78.70333421,75.28960399
 Membrane transport,150.6125574,55.75231089,31.25612204,22.3804701,49.7730569,40.99472809,59.21787001,130.6720166,49.70106759,43.64430394,29.06382751,40.33191732,54.64552345,78.80820655,69.38707949
 Metabolism of cofactors and vitamins,215.762392,173.4486448,62.2504371,42.09842356,91.23737503,84.44295345,117.2826159,186.5555317,92.73843459,104.7205276,50.28970353,86.223307,95.96058888,253.9680894,104.0427589
 Metabolism of other amino acids,45.13931289,17.87937974,13.57017145,15.10463034,15.45292601,13.98517188,20.65454782,40.63710777,13.66042246,14.99244882,8.791820203,12.94507733,15.25862965,13.57594874,16.26708679
 Metabolism of terpenoids and polyketides,138.1684837,55.48890625,35.18269905,12.11571789,48.91341312,47.82083822,70.5225946,33.65881127,47.13016525,42.57874239,16.83636217,50.33139812,58.60717025,40.77581805,72.93494237
 Nervous system,4.752318717,3.117677579,2.33938581,2.232025901,3.065931949,2.534296682,3.087740121,1.769166533,1.793250529,2.827940804,1.677147788,4.745726286,2.832574628,3.085512178,2.517004867
 Neurodegenerative diseases,87.98462051,55.35084026,35.68588795,24.98731768,64.03608121,56.84283344,79.87230317,19.42663778,48.31221522,39.48881713,23.48488025,44.86476605,54.40807026,26.52147595,62.67212304
 Nucleotide metabolism,178.3090387,124.212213,52.98761126,63.52120292,79.08795688,76.87021825,103.9174532,104.2444777,85.22842434,67.44302165,35.40627972,70.24868733,87.26072262,134.8107785,91.38075754
 Poorly characterized,200.1127497,94.83974959,50.26703095,39.41907881,73.72179998,62.60180878,82.48068889,131.3442252,58.43646041,54.61183059,35.88865017,63.23330947,70.81255256,133.2864242,98.4569841
 Protein families: genetic information processing,1271.398976,713.371809,374.5203258,213.3685914,533.8395925,508.7873304,719.2636379,545.2554319,562.3577577,483.6994022,211.4667605,518.4274781,601.8035423,741.6129459,763.6693435
 Protein families: metabolism,391.0892319,296.7160228,137.6836644,105.0352703,197.6585461,185.9296917,263.8113901,169.454562,221.0693375,187.2816471,87.10100075,188.4717286,232.0202379,331.5376292,256.6396875
 Protein families: signaling and cellular processes,477.8387553,203.3460027,134.1251752,127.2545277,186.7625808,165.9559672,226.6846043,338.6791915,198.4077115,151.7082941,92.6836123,180.9415055,200.4752049,255.4067536,212.9811462
 Replication and repair,132.8061698,56.37713645,42.03289382,36.17770114,51.41617614,48.90011986,65.74159354,78.48812991,52.01187139,42.18788133,26.54039793,46.45263685,57.34679458,55.40745376,69.0318661
 Sensory system,0,0,0,0,0,0.042510584,0.058516055,0,0,0,0,0,0,0,0
 Signal transduction,386.4085317,224.1923354,138.2176716,125.0927314,188.0246649,187.7999781,259.5362284,176.4917143,242.4140762,179.0159644,81.9280656,189.8024217,231.4120607,193.2148431,302.879889
 Signaling molecules and interaction,5.120464748,2.330871593,1.199271485,0,1.13843514,1.408298486,2.38676512,0.494248022,2.109044364,1.903633485,0.338828517,2.284735204,1.996716625,1.222270148,2.304683197
 Transcription,152.8367398,106.7577412,62.77825557,34.13185806,81.97615244,77.90592627,110.856704,55.0015848,97.01613386,71.84299591,34.88729016,85.65174398,89.21303928,84.33761112,102.7830111
 Translation,401.399218,228.9046169,122.452337,64.85799707,178.2850024,171.4741774,246.6740876,181.2776054,175.5514679,172.1614362,82.69760595,170.2438372,214.1971723,210.1227806,204.7789662
 Transport and catabolism,177.1525981,126.0635999,88.74599018,21.4552331,114.4295235,108.1545025,152.964985,51.64503829,110.3936578,85.47968064,36.12305761,96.38182884,128.6582424,52.59002556,177.4516846
 Unclassified: genetic information processing,90.12241313,18.84166956,7.959168604,35.77372269,14.94367127,15.09922176,20.57913487,70.7276904,21.82481219,14.75514197,12.47987025,14.508013,16.91221105,22.81278994,24.39431533
 Unclassified: metabolism,414.6700235,227.5516211,103.1226465,95.61622914,163.5705589,153.2457122,229.3715204,198.0612996,197.0135364,146.9652569,69.20868501,167.9323294,192.7655737,245.5346172,247.4291923
 Unclassified: signaling and cellular processes,72.30713598,17.46650676,13.60094262,21.01441559,17.17477442,14.54414269,19.32851612,75.37929133,17.89783159,14.75882828,12.52835736,13.08432426,15.13068593,42.3219022,16.5276063
 Xenobiotics biodegradation and metabolism,40.95798458,23.44546758,15.70182939,9.359181802,20.19355364,21.28636377,29.9856342,15.94008096,22.72566426,15.71916354,6.550406227,16.48780423,24.0516954,17.45387623,24.92033858
Secondary metabolism,3.515550867,1.243703601,1.137502698,0,1.286653477,1.33539726,2.523216791,4.377633272,0.827659418,0.715110207,0.41028304,1.0113899,1.81274234,0.813504117,2.413193346
Other metabolism,5.728787418,3.733476729,2.080826447,0.173907848,4.428164843,4.011742597,4.420727732,4.998365739,1.45179571,2.529342673,2.271796244,2.614083675,2.373811687,5.765862777,2.733679434
